Address,Lot,AM or PM,Browser Info,Company,Credit Card,CC Exp Date,CC Security Code,CC Provider,Email,Job,IP Address,Language,Purchase Price
"650 Elizabeth Park
Lake Maria, LA 13526-2530",65 Yn,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; sl-SI) AppleWebKit/531.41.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6531.41.4","Strickland, Michael and Gonzales",180036417827355,02/17,754.0,Voyager,ustewart@hotmail.com,"Development worker, community",26.59.93.1,el,96.89
"349 Laurie Parks
Thomasview, ID 08970",30 kK,PM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2014-05-12 06:09:34 Firefox/3.6.9,Kim-Oliver,869975209012056,06/26,9717.0,JCB 15 digit,johnnymiller@coleman.com,Diagnostic radiographer,128.222.40.234,en,19.26
"733 Heather Rest Apt. 670
Boltonport, UT 78662",69 DO,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_3 rv:2.0; sl-SI) AppleWebKit/532.38.2 (KHTML, like Gecko) Version/5.0.1 Safari/532.38.2",Moore-Martin,5115990487067905,05/26,119.0,VISA 16 digit,tholt@hotmail.com,"Surveyor, quantity",236.71.234.240,en,39.65
"118 Melton Via Suite 681
Alexanderbury, FL 32104",36 bu,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_6 rv:5.0; en-US) AppleWebKit/531.44.5 (KHTML, like Gecko) Version/5.0 Safari/531.44.5",Keller PLC,4603635169938574,01/25,557.0,VISA 16 digit,caitlin57@yahoo.com,"Accountant, chartered public finance",84.212.92.11,it,8.93
"8774 Jason Keys Suite 427
East Scottborough, MS 29934",70 zH,AM,Mozilla/5.0 (Windows 98; it-IT; rv:1.9.2.20) Gecko/2013-01-15 08:05:10 Firefox/3.8,"Leach, Howe and Ferguson",869967499275071,09/22,427.0,VISA 16 digit,aburns@yahoo.com,Acupuncturist,50.25.148.1,de,24.18
"31730 Chelsea Crest
Blakemouth, CT 90395-0620",41 Cj,PM,Opera/8.95.(Windows NT 5.0; en-US) Presto/2.9.164 Version/11.00,Garcia-Steele,180069437020404,04/25,404.0,Diners Club / Carte Blanche,amanda39@yahoo.com,Retail manager,53.176.235.33,el,71.78
"5283 Thomas Trafficway Suite 343
East Brittney, WY 24324",31 ho,AM,Opera/9.73.(Windows NT 6.2; sl-SI) Presto/2.9.187 Version/11.00,"Stanton, Villanueva and Swanson",676121145525,06/22,285.0,Diners Club / Carte Blanche,griffincatherine@wilson.com,"Therapist, art",8.145.170.52,de,84.44
"950 Jacqueline Village Apt. 592
Port Kimberly, NC 45914",23 Rh,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.1),"Fernandez, Melton and Gilbert",3337515540944084,01/26,771.0,American Express,stacymitchell@hall.com,"Designer, jewellery",223.25.125.61,el,58.68
"461 Christopher Square
West Michaelchester, CA 08119-1240",17 SB,PM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2015-12-01 10:21:36 Firefox/15.0,"Beard, Abbott and Pena",6011350184276270,12/22,767.0,Mastercard,hannah63@yahoo.com,Photographer,73.250.176.201,el,70.15
"125 Hall Summit
Boothton, IL 41721",99 CU,PM,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/3.1),Turner-Mckinney,676343504830,02/20,440.0,VISA 16 digit,ruiznicole@gmail.com,"Designer, interior/spatial",25.105.209.214,fr,58.39
"7383 George Village
Lake Jamesview, CO 79828",23 dk,PM,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/533.49.6 (KHTML, like Gecko) Version/5.1 Safari/533.49.6","Santana, Montes and Pierce",6011833038852776,03/22,740.0,Maestro,zstephenson@smith.info,Public relations officer,250.71.54.180,de,30.33
"282 Miller Valleys Suite 404
Wilkinsonbury, MO 71877-1979",24 RZ,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/5.0),Guzman-Reese,5491255326230898,03/25,506.0,JCB 16 digit,rsmith@hotmail.com,"Presenter, broadcasting",125.58.66.253,it,90.93
"625 Laura Summit Suite 112
Shortmouth, AK 97156",45 oa,PM,"Mozilla/5.0 (Windows 95) AppleWebKit/5342 (KHTML, like Gecko) Chrome/15.0.879.0 Safari/5342",Burnett Ltd,3158663456056588,07/22,508.0,Discover,chambersmichael@gmail.com,Retail manager,65.106.61.141,en,33.62
"25292 Shepherd Trail Apt. 798
Russellmouth, SD 63458-6180",31 pS,PM,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/4.0),Cruz Inc,502010078983,02/23,60.0,VISA 13 digit,ltaylor@gardner-meadows.com,Field seismologist,25.193.145.116,ru,97.97
"Unit 3046 Box 3197
DPO AE 61496-4172",62 Ac,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/4.1),Morris PLC,4749728852401144,07/18,11.0,JCB 15 digit,james07@yahoo.com,Musician,21.113.231.220,es,85.31
"80797 Ryan Trail Apt. 752
Aaronhaven, MI 06228-8192",66 SO,PM,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_1; rv:1.9.6.20) Gecko/2011-10-24 13:49:14 Firefox/3.8,Saunders-Mendez,869938033091779,05/19,901.0,Voyager,madison41@mooney.com,Training and development officer,67.26.186.226,de,6.25
"5334 Sheppard Fort
North Kirsten, ND 71170",40 ND,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_3) AppleWebKit/5311 (KHTML, like Gecko) Chrome/15.0.868.0 Safari/5311","Stephens, Johnson and Combs",60488441233,03/19,70.0,VISA 13 digit,mlogan@gmail.com,Barrister's clerk,61.197.134.185,en,17.75
"5015 Smith Harbors
South Ashley, OK 81283",34 JQ,PM,Opera/9.75.(Windows NT 6.0; en-US) Presto/2.9.188 Version/12.00,"Levine, Shaw and Jenkins",869948145612941,12/16,310.0,Diners Club / Carte Blanche,michael35@hotmail.com,Careers adviser,177.220.131.93,es,39.4
"50533 Cooper Cliffs
North Jonathanberg, MD 20482",17 kP,PM,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.23.1 (KHTML, like Gecko) Version/4.0.5 Safari/532.23.1",Reed Inc,180026477662982,11/24,16.0,JCB 15 digit,khandeborah@yahoo.com,"Scientist, research (life sciences)",142.131.235.225,es,70.75
"30755 Joshua Plaza Apt. 567
West Susanton, FM 79651-9682",93 OP,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_7 rv:6.0; en-US) AppleWebKit/534.15.1 (KHTML, like Gecko) Version/5.0 Safari/534.15.1",Goodwin Ltd,4170734785397597,07/22,319.0,Maestro,stonekaren@yahoo.com,Recycling officer,218.189.145.248,it,82.16
"849 Tony Unions Apt. 654
Snowchester, SD 66068",76 zr,PM,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5341 (KHTML, like Gecko) Chrome/13.0.847.0 Safari/5341",Mills-Stewart,4262383666841320,04/17,412.0,Diners Club / Carte Blanche,laurahess@hotmail.com,Fisheries officer,215.63.180.154,ru,8.43
"USNS Alvarado
FPO AA 27052-1231",26 Lh,PM,Opera/8.84.(X11; Linux i686; sl-SI) Presto/2.9.169 Version/10.00,Nicholson Group,4614997834548,03/22,909.0,Mastercard,ashley12@hotmail.com,Sales executive,94.176.142.201,en,94.14
"Unit 3628 Box 6778
DPO AE 72362",39 Qm,PM,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5331 (KHTML, like Gecko) Chrome/15.0.845.0 Safari/5331",Martinez-Wilson,4942281854569455,01/20,8360.0,JCB 16 digit,shane21@atkinson.com,Civil Service fast streamer,196.37.134.217,pt,56.63
"209 Nguyen Haven
Louischester, VT 52868-6766",70 Wd,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.1),Miles Inc,4981497027087090,05/25,867.0,VISA 16 digit,salazarpatricia@yahoo.com,Theatre stage manager,187.206.154.93,ru,19.63
"112 Moreno Harbors Apt. 594
New Yvonnefurt, MO 88237",14 qe,PM,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/5310 (KHTML, like Gecko) Chrome/14.0.801.0 Safari/5310","Morgan, Dunlap and Lopez",4488424222907706,01/21,311.0,JCB 15 digit,mdavis@carey-davis.com,"Therapist, music",46.198.92.108,pt,89.6
"93392 Webb Gardens Apt. 220
Laurabury, AR 99939-7056",37 om,AM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_4) AppleWebKit/5340 (KHTML, like Gecko) Chrome/13.0.858.0 Safari/5340",Mora Ltd,6011049630969815,09/16,367.0,Mastercard,hgonzalez@mcdowell.com,"Lecturer, further education",216.23.95.40,zh,97.46
"9374 Skinner Common Apt. 254
Christopherfort, NJ 31057",80 Fq,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.1),Hanna-Grant,180042289507877,09/20,912.0,VISA 16 digit,saundersernest@walsh.com,Animal technologist,85.134.58.250,zh,9.77
"86777 Mary Crescent
Carloshaven, KY 48326",10 LL,AM,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.1),"Lawson, Rodriguez and Ramirez",180062205588942,06/18,902.0,American Express,marc20@frederick.info,"Psychologist, occupational",17.202.105.185,es,80.42
"9671 Riley Drives Apt. 746
Port Davidtown, TN 42795-6396",15 vj,AM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2011-04-07 21:42:36 Firefox/11.0,"Bryant, Hubbard and Gonzales",210094965373094,12/20,248.0,Voyager,djennings@boyd-english.org,Music therapist,143.138.65.219,en,30.07
"9526 Diane Parks Apt. 854
Berrybury, WV 99985-3988",31 MN,AM,Opera/8.23.(X11; Linux x86_64; sl-SI) Presto/2.9.172 Version/11.00,"Sweeney, Miller and Castaneda",30508996615114,02/19,369.0,JCB 16 digit,stephanie90@wells-carlson.info,Minerals surveyor,47.93.149.75,el,13.89
"821 Adams Courts Apt. 568
North Nicole, MS 03340-5773",35 gn,AM,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/533.34.1 (KHTML, like Gecko) Version/5.0.4 Safari/533.34.1",Weiss Group,348836222401711,05/26,667.0,Voyager,hernandezevelyn@dickerson.com,Tourist information centre manager,102.225.220.122,pt,87.68
"779 Sydney Keys Apt. 119
Anthonyside, NH 21795-4298",21 lh,PM,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/532.45.3 (KHTML, like Gecko) Version/4.0.4 Safari/532.45.3",Scott-Fuller,4547562019036152,08/20,716.0,Mastercard,kimberlygaines@yahoo.com,Tax inspector,246.108.171.137,ru,23.06
"605 Dillon Parks Apt. 900
Sarafort, WV 87894",40 cz,AM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2013-10-19 12:16:29 Firefox/7.0,"Atkinson, Conway and Young",3096412225633417,12/20,454.0,Discover,cwalsh@gmail.com,"Buyer, industrial",50.235.90.141,de,51.21
"92982 Christopher Harbor
Lake Brianahaven, NJ 71682",60 Uq,PM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5341 (KHTML, like Gecko) Chrome/13.0.807.0 Safari/5341",Matthews-Meyer,6011488855778396,04/23,543.0,Discover,phillipallison@martinez-thomas.com,Purchasing manager,242.88.41.9,el,51.79
"907 Torres Spur Suite 083
Juliefurt, NJ 99332",81 Ym,PM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.0),Esparza Ltd,30003479457184,08/24,719.0,JCB 16 digit,aprilorr@yahoo.com,Heritage manager,95.100.249.114,en,8.58
"096 Edwards Valleys Suite 917
Perkinsberg, LA 03895",07 Cd,PM,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5312 (KHTML, like Gecko) Chrome/13.0.817.0 Safari/5312",Jackson-Allen,869978354045368,03/26,406.0,American Express,gregorygarner@chambers.com,Games developer,222.242.66.78,es,18.69
"1663 Michael Course
Port Susan, MA 25996",23 Xz,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.1),Brown-Brown,30124451554465,08/20,545.0,JCB 16 digit,wmckenzie@gmail.com,Careers adviser,38.56.10.36,pt,53.99
"261 Walton Road Suite 704
Maldonadoshire, MD 13345-1368",55 DV,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5330 (KHTML, like Gecko) Chrome/14.0.823.0 Safari/5330",Sanchez PLC,4237333090755,09/20,446.0,Maestro,zrocha@glenn.org,Facilities manager,84.195.175.153,it,97.01
"87363 Smith Unions Apt. 127
Lake Sarahfort, MI 47607",59 Vv,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_8) AppleWebKit/5330 (KHTML, like Gecko) Chrome/15.0.856.0 Safari/5330",Diaz-Farrell,210095502370279,05/24,253.0,JCB 16 digit,pruittjohn@allen.com,"Chemist, analytical",13.159.43.73,ru,58.66
"822 Cook Street Suite 531
Franklinside, WI 50138",37 XR,PM,Opera/8.11.(X11; Linux x86_64; it-IT) Presto/2.9.163 Version/10.00,"Ingram, Sullivan and Contreras",5374455122083499,05/25,657.0,VISA 13 digit,schmidtjacob@gmail.com,"Horticulturist, amenity",84.240.35.144,es,86.38
"41159 Michael Centers
Adamsfort, RI 37108-6674",46 Ce,PM,Mozilla/5.0 (Windows 98; Win 9x 4.90; sl-SI; rv:1.9.2.20) Gecko/2016-05-03 02:05:14 Firefox/3.8,"Wright, Williams and Mendez",4008586485908075,05/19,945.0,JCB 16 digit,susanvalentine@obrien.org,Mechanical engineer,213.203.143.215,de,36.85
"735 Gaines Plains
Ryanfurt, GU 29451-6616",50 Ds,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2015-03-04 16:07:01 Firefox/3.8,"Howard, Garcia and Jones",4332227215237678,10/17,975.0,American Express,vincentgriffith@cook-castillo.com,Tourist information centre manager,142.171.212.118,es,93.22
"134 Ibarra Shoals Apt. 485
North Josephberg, GA 00779",97 gz,PM,Opera/9.65.(Windows NT 5.1; it-IT) Presto/2.9.168 Version/12.00,Meza Group,3088085017234428,05/26,24.0,Discover,greenjulian@hotmail.com,Clinical research associate,5.126.206.189,it,76.49
"PSC 9431, Box 7059
APO AA 29285-1363",14 qD,AM,Opera/9.34.(X11; Linux x86_64; it-IT) Presto/2.9.160 Version/12.00,"Higgins, Cardenas and Kennedy",869972604798355,08/17,157.0,JCB 16 digit,amorales@yahoo.com,Technical author,44.108.117.122,fr,10.41
"1362 Woods Freeway Suite 659
Weaverbury, NJ 99397",93 Zp,PM,Opera/9.12.(Windows 98; sl-SI) Presto/2.9.175 Version/10.00,Underwood-Morgan,4529081312229,11/23,257.0,JCB 15 digit,stewartwilliam@hotmail.com,Radio broadcast assistant,154.150.83.22,en,82.48
"27635 Maureen Bypass Apt. 883
Sandraview, SD 92835-3333",59 LJ,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; en-US) AppleWebKit/534.33.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6534.33.7",Sims-Lyons,3158113629128344,09/19,857.0,VISA 16 digit,adkinsarthur@yahoo.com,"Engineer, broadcasting (operations)",227.235.89.210,pt,48.74
"1099 Prince Locks Suite 900
North Hannahfurt, OK 33754",10 DU,AM,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_7; rv:1.9.5.20) Gecko/2012-12-13 14:38:07 Firefox/3.6.19,"Taylor, Lloyd and Aguilar",3088511373952816,02/26,813.0,VISA 16 digit,albert68@lawrence-warren.biz,Clothing/textile technologist,100.59.92.18,el,77.67
"80728 Anthony Common Apt. 128
North Rebecca, PW 35500",50 Cq,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2012-10-18 11:33:26 Firefox/9.0,Coleman-Thompson,60441789637,01/24,56.0,Maestro,timothy88@morris.com,Holiday representative,135.11.140.254,es,65.85
"26217 James Station Apt. 999
Natalieland, VT 44411-4443",95 aS,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_6 rv:6.0; it-IT) AppleWebKit/535.40.7 (KHTML, like Gecko) Version/4.0.4 Safari/535.40.7","Decker, Wilson and Brown",210066586272145,06/18,609.0,Mastercard,udavis@howe.com,Housing manager/officer,77.68.59.64,el,10.87
"0585 Lucas Gateway Suite 198
Brandyville, WI 02139",14 On,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0) AppleWebKit/5350 (KHTML, like Gecko) Chrome/13.0.891.0 Safari/5350",Vaughan-Daniel,3337792525603205,10/20,662.0,Discover,lindseyturner@walton.org,"Teacher, special educational needs",139.242.244.155,zh,87.05
"7126 Katherine Squares
Perkinsview, CO 97299-0900",63 qu,AM,Opera/8.68.(X11; Linux x86_64; en-US) Presto/2.9.160 Version/12.00,Marshall-Fernandez,349767747049645,05/20,672.0,JCB 15 digit,sweeneyhannah@jones.biz,"Engineer, agricultural",197.144.142.102,de,20.43
"324 Ryan Pike Suite 134
Jillland, VI 03398",31 nX,AM,"Mozilla/5.0 (Windows 98) AppleWebKit/5321 (KHTML, like Gecko) Chrome/14.0.861.0 Safari/5321","Turner, Juarez and Barnes",4107899971187,01/17,6113.0,VISA 16 digit,diazronald@gmail.com,"Buyer, retail",76.32.252.85,el,17.65
"66363 Ryan Highway
Leeshire, VI 74666-0493",94 PS,AM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5341 (KHTML, like Gecko) Chrome/14.0.839.0 Safari/5341","White, Reese and Arnold",4707246703256,09/25,671.0,VISA 13 digit,leedaisy@simmons-gutierrez.org,"Doctor, general practice",237.133.183.104,de,40.4
"41169 Daniel Summit Apt. 012
West Edwardfort, MH 79522",21 hH,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; en-US) AppleWebKit/531.40.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6531.40.1",Evans LLC,4048210894501098,08/19,652.0,JCB 16 digit,wjones@yahoo.com,Hotel manager,183.221.168.62,de,44.11
"937 Weaver Isle Apt. 096
Tracyborough, KY 18263-4998",97 QO,AM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_2 rv:3.0; it-IT) AppleWebKit/534.40.7 (KHTML, like Gecko) Version/4.0 Safari/534.40.7",Villa Inc,869930676434762,11/21,578.0,Discover,jason24@gardner-anderson.com,"Engineer, civil (consulting)",218.171.210.9,it,72.45
"867 Kelly Ramp Apt. 562
Port Roberttown, HI 76512-2458",36 MW,AM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2011-02-20 05:10:34 Firefox/3.8,"Cruz, Barrett and Fisher",4115398853010199,06/21,477.0,VISA 16 digit,joshuahoffman@gmail.com,General practice doctor,15.202.223.202,pt,47.82
"59651 Turner Tunnel Apt. 702
Ruiztown, IA 59612",51 iB,AM,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_8; rv:1.9.5.20) Gecko/2014-12-03 00:18:35 Firefox/3.8,Ewing and Sons,6011879049056030,07/23,352.0,JCB 16 digit,fglenn@hotmail.com,Careers adviser,44.37.36.104,en,24.0
"25598 Ashley Square
Robertstad, SD 20936-0349",35 LT,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5350 (KHTML, like Gecko) Chrome/13.0.876.0 Safari/5350",Perkins Ltd,30192367132296,01/20,802.0,Mastercard,olsenadam@green.com,Jewellery designer,63.196.241.168,pt,37.51
"12962 Curtis Crescent
West Rickytown, OR 08597-5888",61 Lr,PM,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/3.1),"Jones, Perez and Cole",3112101128292245,03/21,291.0,American Express,destiny15@wallace-moore.info,"Therapist, speech and language",97.111.87.31,en,76.89
"1479 Bell Mills Apt. 702
Cesarfort, PR 79642",48 Dv,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/4.0),Floyd Group,30570877809646,07/23,320.0,Voyager,hancockphilip@wiley.net,Operational researcher,163.73.80.163,pt,33.86
"Unit 9635 Box 0238
DPO AE 55910-7730",76 NA,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4 rv:4.0; it-IT) AppleWebKit/532.49.5 (KHTML, like Gecko) Version/5.0.1 Safari/532.49.5",Garcia-Leon,4754420478628,09/25,65.0,JCB 16 digit,kristi17@rodgers-morris.biz,Forensic scientist,213.132.122.145,ru,78.91
"869 Kelsey Grove Suite 629
Morganmouth, IA 30359",33 yt,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; sl-SI) AppleWebKit/535.28.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6535.28.2",Martin-Carlson,6011247468571287,01/21,5345.0,American Express,kathryn33@johnson.info,Civil Service fast streamer,91.227.207.58,it,83.27
"16542 Turner Crossroad Suite 193
East Tracy, CT 69627",09 Mk,PM,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_0; rv:1.9.6.20) Gecko/2010-06-25 09:31:27 Firefox/3.6.16,Riley PLC,4423224303743,12/23,355.0,VISA 13 digit,brentbarajas@hotmail.com,Graphic designer,149.124.11.228,pt,61.47
"6639 Chavez Lock
Burkeborough, SC 22241",30 In,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/4.0),"Benson, Smith and Stevenson",4423155549717604,11/22,709.0,Voyager,cdean@gmail.com,Editorial assistant,253.240.59.192,el,31.49
"189 Washington Dale Suite 864
Angelaburgh, MO 45669",04 bK,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2014-01-26 18:59:43 Firefox/13.0,"Hayes, Vance and Anderson",869934742446636,01/18,727.0,VISA 16 digit,patricia86@reyes.com,Financial adviser,177.88.105.166,zh,43.33
"PSC 6723, Box 3476
APO AP 56767-0500",75 Td,AM,Opera/8.29.(Windows 95; sl-SI) Presto/2.9.161 Version/10.00,Bush and Sons,4967640718082,08/22,274.0,JCB 15 digit,davidsutton@hotmail.com,Purchasing manager,79.249.162.221,zh,87.81
"49206 Campbell Port
North Cliffordshire, HI 38945",71 iu,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_9 rv:4.0; sl-SI) AppleWebKit/533.3.3 (KHTML, like Gecko) Version/4.1 Safari/533.3.3",Jacobs-Tucker,6011343518820988,01/17,806.0,Voyager,eperez@hotmail.com,Paramedic,210.207.58.168,fr,57.34
"1728 Ferguson Brook
Lake Deanna, MN 00857",26 qt,AM,"Mozilla/5.0 (Windows 95) AppleWebKit/5342 (KHTML, like Gecko) Chrome/13.0.872.0 Safari/5342",Hampton Group,3096955150599680,02/23,529.0,Diners Club / Carte Blanche,eric14@yahoo.com,"Development worker, community",203.156.63.185,en,20.77
"6119 Adam River
North Lisa, LA 77224-5378",43 xD,AM,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.41.3 (KHTML, like Gecko) Version/4.1 Safari/532.41.3",Morgan-Fleming,3337080082881103,07/25,35.0,VISA 16 digit,danielwilliams@beasley-murphy.net,"Secretary, company",8.228.197.79,el,38.88
"641 Terri Expressway
South Kenneth, NE 88513",18 qy,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2013-03-15 11:16:33 Firefox/3.8,Hall and Sons,345049869053000,08/25,702.0,VISA 13 digit,lserrano@donovan-brown.biz,Paediatric nurse,236.219.206.197,zh,8.67
"88144 Jennifer Shore
East Robert, NY 87858",99 Km,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/5.0),Perez PLC,210052619871160,09/20,738.0,Voyager,michael46@yahoo.com,Data processing manager,63.115.141.253,it,77.5
"36971 Carrillo Fall
Alanfurt, VI 30447",01 sd,PM,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.1),Fowler Inc,3096082589629929,05/21,464.0,JCB 16 digit,emilygreen@yahoo.com,Print production planner,172.64.177.225,it,60.69
